path,description,fontFamily,fontSize,fontWeight,lineHeight,letterSpacing,extensions
typography.text.tertiary.$root,"Tertiary body text style for supplementary UI elements (12px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",{typography.fontFamily.default},{dimension.size.fontSize.250},{typography.weight.regular},{number.lineHeight.250},{dimension.letterSpacing.default},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/letterCase/default/$extensions/com.canonical.typography/$value""},""figureStyle"":{""$ref"":""#/typography/figureStyle/normal/$extensions/com.canonical.typography/$value""}}}}"
typography.text.tertiary.bold,"Bold variant of tertiary text for emphasis (12px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",{$ref:#/typography/text/tertiary/$root/$value/fontFamily},{$ref:#/typography/text/tertiary/$root/$value/fontSize},{typography.weight.semiBold},{$ref:#/typography/text/tertiary/$root/$value/lineHeight},{$ref:#/typography/text/tertiary/$root/$value/letterSpacing},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/text/tertiary/$root/$extensions/com.canonical.typography/$value/letterCase""},""figureStyle"":{""$ref"":""#/typography/text/tertiary/$root/$extensions/com.canonical.typography/$value/figureStyle""}}}}"
typography.text.tertiary.prose.$root,"Tertiary text style for flowing paragraph content, using oldstyle figures for improved readability (12px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",{$ref:#/typography/text/tertiary/$root/$value/fontFamily},{$ref:#/typography/text/tertiary/$root/$value/fontSize},{$ref:#/typography/text/tertiary/$root/$value/fontWeight},{$ref:#/typography/text/tertiary/$root/$value/lineHeight},{$ref:#/typography/text/tertiary/$root/$value/letterSpacing},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/text/tertiary/$root/$extensions/com.canonical.typography/$value/letterCase""},""figureStyle"":{""$ref"":""#/typography/figureStyle/oldStyleFigure/$extensions/com.canonical.typography/$value""}}}}"
typography.text.tertiary.prose.bold,"Bold variant of tertiary prose text for emphasis in paragraph content (12px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",{$ref:#/typography/text/tertiary/prose/$root/$value/fontFamily},{$ref:#/typography/text/tertiary/prose/$root/$value/fontSize},{typography.weight.semiBold},{$ref:#/typography/text/tertiary/prose/$root/$value/lineHeight},{$ref:#/typography/text/tertiary/prose/$root/$value/letterSpacing},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/text/tertiary/prose/$root/$extensions/com.canonical.typography/$value/letterCase""},""figureStyle"":{""$ref"":""#/typography/text/tertiary/prose/$root/$extensions/com.canonical.typography/$value/figureStyle""}}}}"
typography.heading.1.$root,"Primary page heading (e.g. for main titles and hero sections) (32px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",{typography.fontFamily.default},{dimension.size.fontSize.600},{typography.weight.medium},{number.lineHeight.600},{dimension.letterSpacing.default},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/letterCase/default/$extensions/com.canonical.typography/$value""},""figureStyle"":{""$ref"":""#/typography/figureStyle/oldStyleFigure/$extensions/com.canonical.typography/$value""}}}}"
typography.heading.1.bold,"Bold variant of heading 1 for additional emphasis (32px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",{$ref:#/typography/heading/1/$root/$value/fontFamily},{$ref:#/typography/heading/1/$root/$value/fontSize},{typography.weight.bold},{$ref:#/typography/heading/1/$root/$value/lineHeight},{$ref:#/typography/heading/1/$root/$value/letterSpacing},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/heading/1/$root/$extensions/com.canonical.typography/$value/letterCase""},""figureStyle"":{""$ref"":""#/typography/heading/1/$root/$extensions/com.canonical.typography/$value/figureStyle""}}}}"
typography.heading.2.$root,"Secondary page heading (32px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",{typography.fontFamily.default},{dimension.size.fontSize.600},{typography.weight.light},{number.lineHeight.600},{dimension.letterSpacing.default},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/letterCase/default/$extensions/com.canonical.typography/$value""},""figureStyle"":{""$ref"":""#/typography/figureStyle/oldStyleFigure/$extensions/com.canonical.typography/$value""}}}}"
typography.heading.2.bold,"Bold variant of heading 2 for additional emphasis (32px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",{$ref:#/typography/heading/2/$root/$value/fontFamily},{$ref:#/typography/heading/2/$root/$value/fontSize},{typography.weight.medium},{$ref:#/typography/heading/2/$root/$value/lineHeight},{$ref:#/typography/heading/2/$root/$value/letterSpacing},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/heading/2/$root/$extensions/com.canonical.typography/$value/letterCase""},""figureStyle"":{""$ref"":""#/typography/heading/2/$root/$extensions/com.canonical.typography/$value/figureStyle""}}}}"
typography.heading.5.$root,"Quinary page heading (18px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",{typography.fontFamily.default},{dimension.size.fontSize.400},{typography.weight.semiBold},{number.lineHeight.400},{dimension.letterSpacing.default},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/letterCase/default/$extensions/com.canonical.typography/$value""},""figureStyle"":{""$ref"":""#/typography/figureStyle/oldStyleFigure/$extensions/com.canonical.typography/$value""}}}}"
typography.heading.5.bold,"Bold variant of heading 5 for additional emphasis (18px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",{$ref:#/typography/heading/5/$root/$value/fontFamily},{$ref:#/typography/heading/5/$root/$value/fontSize},{typography.weight.bold},{$ref:#/typography/heading/5/$root/$value/lineHeight},{$ref:#/typography/heading/5/$root/$value/letterSpacing},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/heading/5/$root/$extensions/com.canonical.typography/$value/letterCase""},""figureStyle"":{""$ref"":""#/typography/heading/5/$root/$extensions/com.canonical.typography/$value/figureStyle""}}}}"
typography.heading.6.$root,"Senary page heading (18px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",{typography.fontFamily.default},{dimension.size.fontSize.400},{typography.weight.regular},{number.lineHeight.400},{dimension.letterSpacing.default},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/letterCase/default/$extensions/com.canonical.typography/$value""},""figureStyle"":{""$ref"":""#/typography/figureStyle/oldStyleFigure/$extensions/com.canonical.typography/$value""}}}}"
typography.heading.6.bold,"Bold variant of heading 6 for additional emphasis (18px) (Some properties of this token are not yet supported by the W3C DTCG specification, so they are stored in $extensions and require a token transformer compatible with Canonical design system extensions.)",{$ref:#/typography/heading/6/$root/$value/fontFamily},{$ref:#/typography/heading/6/$root/$value/fontSize},{typography.weight.semiBold},{$ref:#/typography/heading/6/$root/$value/lineHeight},{$ref:#/typography/heading/6/$root/$value/letterSpacing},"{""com.canonical.typography"":{""$value"":{""letterCase"":{""$ref"":""#/typography/heading/6/$root/$extensions/com.canonical.typography/$value/letterCase""},""figureStyle"":{""$ref"":""#/typography/heading/6/$root/$extensions/com.canonical.typography/$value/figureStyle""}}}}"
